"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Delete file","LMS service","Sat Mar 14 16:24:14 UTC 2026","passed","Sat Mar 14 16:24:14 UTC 2026","Delete entity","Files","",""
"","540","Create user","tests.users","Sat Mar 14 16:24:13 UTC 2026","passed","Sat Mar 14 16:24:14 UTC 2026","TestCreateUser","test_create_user","",""
"","53","Get exercise","LMS service","Sat Mar 14 16:24:10 UTC 2026","passed","Sat Mar 14 16:24:10 UTC 2026","Get entity","Exercises","",""
"","524","Create user","tests.users","Sat Mar 14 16:24:14 UTC 2026","passed","Sat Mar 14 16:24:14 UTC 2026","TestCreateUser","test_create_user","",""
"","31","Get all courses","LMS service","Sat Mar 14 16:24:06 UTC 2026","passed","Sat Mar 14 16:24:06 UTC 2026","Get entities","Courses","",""
"","538","Create user","tests.users","Sat Mar 14 16:24:14 UTC 2026","passed","Sat Mar 14 16:24:15 UTC 2026","TestCreateUser","test_create_user","",""
"","19","Get file with wrong id","LMS service","Sat Mar 14 16:24:13 UTC 2026","passed","Sat Mar 14 16:24:13 UTC 2026","Validate entity","Files","",""
"","28","Create course","LMS service","Sat Mar 14 16:24:07 UTC 2026","passed","Sat Mar 14 16:24:07 UTC 2026","Create entity","Courses","",""
"","20","Get all exercises","LMS service","Sat Mar 14 16:24:11 UTC 2026","passed","Sat Mar 14 16:24:11 UTC 2026","Get entities","Exercises","",""
"","20","Update exercise","LMS service","Sat Mar 14 16:24:08 UTC 2026","passed","Sat Mar 14 16:24:08 UTC 2026","Update entity","Exercises","",""
"","24","Create file","LMS service","Sat Mar 14 16:24:11 UTC 2026","passed","Sat Mar 14 16:24:11 UTC 2026","Create entity","Files","",""
"","36","Update course","LMS service","Sat Mar 14 16:24:07 UTC 2026","passed","Sat Mar 14 16:24:07 UTC 2026","Update entity","Courses","",""
"","547","Login with email and password","LMS service","Sat Mar 14 16:24:05 UTC 2026","passed","Sat Mar 14 16:24:06 UTC 2026","Login","Users","",""
"","14","Get your user's info","LMS service","Sat Mar 14 16:24:15 UTC 2026","passed","Sat Mar 14 16:24:15 UTC 2026","Get entity","Users","",""
"","266","Create file with empty directory","LMS service","Sat Mar 14 16:24:13 UTC 2026","passed","Sat Mar 14 16:24:13 UTC 2026","Validate entity","Files","",""
"","17","Get file","LMS service","Sat Mar 14 16:24:12 UTC 2026","passed","Sat Mar 14 16:24:12 UTC 2026","Get entity","Files","",""
"","261","Create file with empty name","LMS service","Sat Mar 14 16:24:12 UTC 2026","passed","Sat Mar 14 16:24:12 UTC 2026","Validate entity","Files","",""
"","20","Delete exercise","LMS service","Sat Mar 14 16:24:10 UTC 2026","passed","Sat Mar 14 16:24:10 UTC 2026","Delete entity","Exercises","",""
"","28","Create exercise","LMS service","Sat Mar 14 16:24:08 UTC 2026","passed","Sat Mar 14 16:24:08 UTC 2026","Create entity","Exercises","",""
